trait1	trait2	n_species_overlap	phi	p_value
lactic acid fermentation	anoxygenic photoautotrophy S oxidizing	1148		
lactic acid fermentation	anoxygenic photoautotrophy Fe oxidizing	1110		
lactic acid fermentation	anoxygenic photoautotrophy	1148		
lactic acid fermentation	oxygenic photoautotrophy	4801		
lactic acid fermentation	photoautotrophy	1156		
lactic acid fermentation	aerobic anoxygenic phototrophy	1423		
lactic acid fermentation	photoheterotrophy	1136		
lactic acid fermentation	phototrophy	1137		
lactic acid fermentation	plastic degradation	96		
lactic acid fermentation	alginate degradation	233		
lactic acid fermentation	collagen degradation	84		
alcohol fermentation	invertebrate parasites	26		
alcohol fermentation	human pathogens septicemia	10		
alcohol fermentation	human pathogens pneumonia	28		
alcohol fermentation	human pathogens nosocomia	11		
alcohol fermentation	human pathogens meningitis	9		
alcohol fermentation	human pathogens gastroenteritis	7		
alcohol fermentation	human pathogens diarrhea	4		
alcohol fermentation	human pathogens all	139		
alcohol fermentation	fish parasites	9		
alcohol fermentation	human gut	58		
alcohol fermentation	human associated	285		
alcohol fermentation	mammal gut	97		
alcohol fermentation	animal parasites or symbionts	224		
alcohol fermentation	plant pathogen	76		
alcohol fermentation	oil bioremediation	56		
alcohol fermentation	aromatic hydrocarbon degradation	214		
alcohol fermentation	aromatic compound degradation	520		
alcohol fermentation	aliphatic non methane hydrocarbon degradation	135		
alcohol fermentation	hydrocarbon degradation	242		
alcohol fermentation	dark iron oxidation	43		
alcohol fermentation	iron oxidation	45		
alcohol fermentation	iron respiration	2960		
alcohol fermentation	nitrate respiration	3722		
alcohol fermentation	nitrogen respiration	3111		
alcohol fermentation	fumarate respiration	3015		
alcohol fermentation	intracellular parasites	60		
alcohol fermentation	chlorate reducers	8		
alcohol fermentation	predatory or exoparasitic	8		
alcohol fermentation	anoxygenic photoautotrophy H2 oxidizing	1121		
alcohol fermentation	anoxygenic photoautotrophy S oxidizing	1141		
alcohol fermentation	anoxygenic photoautotrophy Fe oxidizing	1102		
alcohol fermentation	anoxygenic photoautotrophy	1142		
alcohol fermentation	oxygenic photoautotrophy	4437		
alcohol fermentation	photoautotrophy	1150		
alcohol fermentation	aerobic anoxygenic phototrophy	1383		
alcohol fermentation	photoheterotrophy	1128		
alcohol fermentation	phototrophy	1130		
alcohol fermentation	plastic degradation	76		
alcohol fermentation	acetate oxidation	1175		
alcohol fermentation	alginate degradation	242		
alcohol fermentation	collagen degradation	63		
aerobic chemoheterotrophy	invertebrate parasites	65		
aerobic chemoheterotrophy	human pathogens septicemia	26		
aerobic chemoheterotrophy	human pathogens pneumonia	40		
aerobic chemoheterotrophy	human pathogens nosocomia	12		
aerobic chemoheterotrophy	human pathogens meningitis	17		
aerobic chemoheterotrophy	human pathogens gastroenteritis	14		
aerobic chemoheterotrophy	human pathogens diarrhea	11		
aerobic chemoheterotrophy	human pathogens all	279		
aerobic chemoheterotrophy	fish parasites	14		
aerobic chemoheterotrophy	human gut	206		
aerobic chemoheterotrophy	human associated	819		
aerobic chemoheterotrophy	mammal gut	297		
aerobic chemoheterotrophy	animal parasites or symbionts	719		
aerobic chemoheterotrophy	plant pathogen	169		
aerobic chemoheterotrophy	intracellular parasites	72		
aerobic chemoheterotrophy	chlorate reducers	15		
aerobic chemoheterotrophy	predatory or exoparasitic	10		
aerobic chemoheterotrophy	anoxygenic photoautotrophy Fe oxidizing	1408		
aerobic chemoheterotrophy	reductive acetogenesis	372		
aerobic chemoheterotrophy	obligate anaerobes	9324		
invertebrate parasites	human pathogens septicemia	4		
invertebrate parasites	human pathogens pneumonia	3		
invertebrate parasites	human pathogens nosocomia	0		
invertebrate parasites	human pathogens meningitis	3		
invertebrate parasites	human pathogens gastroenteritis	1		
invertebrate parasites	human pathogens diarrhea	2		
invertebrate parasites	human pathogens all	44		
invertebrate parasites	fish parasites	0		
invertebrate parasites	human gut	0		
invertebrate parasites	human associated	46		
invertebrate parasites	mammal gut	0		
invertebrate parasites	animal parasites or symbionts	127		
invertebrate parasites	plant pathogen	2		
invertebrate parasites	oil bioremediation	2		
invertebrate parasites	aromatic hydrocarbon degradation	4		
invertebrate parasites	aromatic compound degradation	15		
invertebrate parasites	aliphatic non methane hydrocarbon degradation	0		
invertebrate parasites	hydrocarbon degradation	4		
invertebrate parasites	dark iron oxidation	1		
invertebrate parasites	iron oxidation	1		
invertebrate parasites	iron respiration	10		
invertebrate parasites	nitrate respiration	33		
invertebrate parasites	nitrate reduction	54		
invertebrate parasites	nitrogen respiration	13		
invertebrate parasites	fumarate respiration	10		
invertebrate parasites	intracellular parasites	34		
invertebrate parasites	chlorate reducers	1		
invertebrate parasites	predatory or exoparasitic	0		
invertebrate parasites	anoxygenic photoautotrophy H2 oxidizing	17		
invertebrate parasites	anoxygenic photoautotrophy S oxidizing	17		
invertebrate parasites	anoxygenic photoautotrophy Fe oxidizing	17		
invertebrate parasites	anoxygenic photoautotrophy	17		
invertebrate parasites	oxygenic photoautotrophy	144		
invertebrate parasites	photoautotrophy	17		
invertebrate parasites	aerobic anoxygenic phototrophy	16		
invertebrate parasites	photoheterotrophy	16		
invertebrate parasites	phototrophy	16		
invertebrate parasites	plastic degradation	7		
invertebrate parasites	ureolysis	53		
invertebrate parasites	reductive acetogenesis	3		
invertebrate parasites	acetate oxidation	10		
invertebrate parasites	lactate oxidation	8		
invertebrate parasites	chemoheterotrophy	124		
invertebrate parasites	alginate degradation	2		
invertebrate parasites	pectin degradation	2		
invertebrate parasites	collagen degradation	2		
invertebrate parasites	anaerobic chemoheterotrophy	75		
invertebrate parasites	obligate anaerobes	101		
invertebrate parasites	facultative anaerobes	55		
invertebrate parasites	sulfur reduction	28		
human pathogens septicemia	human pathogens pneumonia	14		
human pathogens septicemia	human pathogens nosocomia	2		
human pathogens septicemia	human pathogens meningitis	10		
human pathogens septicemia	human pathogens gastroenteritis	4		
human pathogens septicemia	human pathogens diarrhea	5		
human pathogens septicemia	human pathogens all	43		
human pathogens septicemia	fish parasites	0		
human pathogens septicemia	human gut	4		
human pathogens septicemia	human associated	43		
human pathogens septicemia	mammal gut	6		
human pathogens septicemia	animal parasites or symbionts	34		
human pathogens septicemia	plant pathogen	2		
human pathogens septicemia	oil bioremediation	5		
human pathogens septicemia	aromatic hydrocarbon degradation	2		
human pathogens septicemia	aromatic compound degradation	4		
human pathogens septicemia	aliphatic non methane hydrocarbon degradation	2		
human pathogens septicemia	hydrocarbon degradation	3		
human pathogens septicemia	dark iron oxidation	0		
human pathogens septicemia	iron oxidation	0		
human pathogens septicemia	iron respiration	4		
human pathogens septicemia	nitrate respiration	15		
human pathogens septicemia	nitrate reduction	31		
human pathogens septicemia	nitrogen respiration	9		
human pathogens septicemia	fumarate respiration	6		
human pathogens septicemia	intracellular parasites	3		
human pathogens septicemia	chlorate reducers	0		
human pathogens septicemia	predatory or exoparasitic	0		
human pathogens septicemia	anoxygenic photoautotrophy H2 oxidizing	10		
human pathogens septicemia	anoxygenic photoautotrophy S oxidizing	10		
human pathogens septicemia	anoxygenic photoautotrophy Fe oxidizing	10		
human pathogens septicemia	anoxygenic photoautotrophy	10		
human pathogens septicemia	oxygenic photoautotrophy	43		
human pathogens septicemia	photoautotrophy	10		
human pathogens septicemia	aerobic anoxygenic phototrophy	10		
human pathogens septicemia	photoheterotrophy	10		
human pathogens septicemia	phototrophy	10		
human pathogens septicemia	plastic degradation	5		
human pathogens septicemia	ureolysis	30		
human pathogens septicemia	reductive acetogenesis	1		
human pathogens septicemia	acetate oxidation	2		
human pathogens septicemia	lactate oxidation	2		
human pathogens septicemia	chemoheterotrophy	38		
human pathogens septicemia	alginate degradation	0		
human pathogens septicemia	pectin degradation	1		
human pathogens septicemia	collagen degradation	7		
human pathogens septicemia	anaerobic chemoheterotrophy	19		
human pathogens septicemia	obligate anaerobes	34		
human pathogens septicemia	facultative anaerobes	26		
human pathogens septicemia	sulfur reduction	14		
human pathogens pneumonia	human pathogens nosocomia	3		
human pathogens pneumonia	human pathogens meningitis	9		
human pathogens pneumonia	human pathogens gastroenteritis	1		
human pathogens pneumonia	human pathogens diarrhea	2		
human pathogens pneumonia	human pathogens all	54		
human pathogens pneumonia	fish parasites	0		
human pathogens pneumonia	human gut	3		
human pathogens pneumonia	human associated	54		
human pathogens pneumonia	mammal gut	3		
human pathogens pneumonia	animal parasites or symbionts	25		
human pathogens pneumonia	plant pathogen	3		
human pathogens pneumonia	oil bioremediation	5		
human pathogens pneumonia	aromatic hydrocarbon degradation	2		
human pathogens pneumonia	aromatic compound degradation	5		
human pathogens pneumonia	aliphatic non methane hydrocarbon degradation	3		
human pathogens pneumonia	hydrocarbon degradation	4		
human pathogens pneumonia	dark iron oxidation	0		
human pathogens pneumonia	iron oxidation	0		
human pathogens pneumonia	iron respiration	6		
human pathogens pneumonia	nitrate respiration	33		
human pathogens pneumonia	nitrate reduction	38		
human pathogens pneumonia	nitrogen respiration	10		
human pathogens pneumonia	fumarate respiration	7		
human pathogens pneumonia	intracellular parasites	21		
human pathogens pneumonia	chlorate reducers	0		
human pathogens pneumonia	predatory or exoparasitic	0		
human pathogens pneumonia	anoxygenic photoautotrophy H2 oxidizing	8		
human pathogens pneumonia	anoxygenic photoautotrophy S oxidizing	8		
human pathogens pneumonia	anoxygenic photoautotrophy Fe oxidizing	8		
human pathogens pneumonia	anoxygenic photoautotrophy	8		
human pathogens pneumonia	oxygenic photoautotrophy	53		
human pathogens pneumonia	photoautotrophy	8		
human pathogens pneumonia	aerobic anoxygenic phototrophy	8		
human pathogens pneumonia	photoheterotrophy	8		
human pathogens pneumonia	phototrophy	8		
human pathogens pneumonia	plastic degradation	6		
human pathogens pneumonia	ureolysis	37		
human pathogens pneumonia	reductive acetogenesis	1		
human pathogens pneumonia	acetate oxidation	3		
human pathogens pneumonia	lactate oxidation	3		
human pathogens pneumonia	chemoheterotrophy	47		
human pathogens pneumonia	alginate degradation	0		
human pathogens pneumonia	pectin degradation	1		
human pathogens pneumonia	collagen degradation	6		
human pathogens pneumonia	anaerobic chemoheterotrophy	12		
human pathogens pneumonia	obligate anaerobes	44		
human pathogens pneumonia	facultative anaerobes	14		
human pathogens pneumonia	sulfur reduction	3		
human pathogens nosocomia	human pathogens meningitis	0		
human pathogens nosocomia	human pathogens gastroenteritis	0		
human pathogens nosocomia	human pathogens diarrhea	0		
human pathogens nosocomia	human pathogens all	13		
human pathogens nosocomia	fish parasites	0		
human pathogens nosocomia	human gut	3		
human pathogens nosocomia	human associated	13		
human pathogens nosocomia	mammal gut	3		
human pathogens nosocomia	animal parasites or symbionts	10		
human pathogens nosocomia	plant pathogen	0		
human pathogens nosocomia	oil bioremediation	7		
human pathogens nosocomia	aromatic hydrocarbon degradation	0		
human pathogens nosocomia	aromatic compound degradation	7		
human pathogens nosocomia	aliphatic non methane hydrocarbon degradation	7		
human pathogens nosocomia	hydrocarbon degradation	7		
human pathogens nosocomia	dark iron oxidation	0		
human pathogens nosocomia	iron oxidation	0		
human pathogens nosocomia	iron respiration	7		
human pathogens nosocomia	nitrate respiration	9		
human pathogens nosocomia	nitrate reduction	5		
human pathogens nosocomia	nitrogen respiration	8		
human pathogens nosocomia	fumarate respiration	7		
human pathogens nosocomia	intracellular parasites	0		
human pathogens nosocomia	chlorate reducers	0		
human pathogens nosocomia	predatory or exoparasitic	0		
human pathogens nosocomia	anoxygenic photoautotrophy H2 oxidizing	3		
human pathogens nosocomia	anoxygenic photoautotrophy S oxidizing	3		
human pathogens nosocomia	anoxygenic photoautotrophy Fe oxidizing	3		
human pathogens nosocomia	anoxygenic photoautotrophy	3		
human pathogens nosocomia	oxygenic photoautotrophy	13		
human pathogens nosocomia	photoautotrophy	3		
human pathogens nosocomia	aerobic anoxygenic phototrophy	3		
human pathogens nosocomia	photoheterotrophy	3		
human pathogens nosocomia	phototrophy	3		
human pathogens nosocomia	plastic degradation	7		
human pathogens nosocomia	ureolysis	5		
human pathogens nosocomia	reductive acetogenesis	0		
human pathogens nosocomia	acetate oxidation	5		
human pathogens nosocomia	lactate oxidation	6		
human pathogens nosocomia	chemoheterotrophy	13		
human pathogens nosocomia	alginate degradation	0		
human pathogens nosocomia	pectin degradation	1		
human pathogens nosocomia	collagen degradation	0		
human pathogens nosocomia	anaerobic chemoheterotrophy	10		
human pathogens nosocomia	obligate anaerobes	12		
human pathogens nosocomia	facultative anaerobes	10		
human pathogens nosocomia	sulfur reduction	3		
human pathogens meningitis	human pathogens gastroenteritis	1		
human pathogens meningitis	human pathogens diarrhea	2		
human pathogens meningitis	human pathogens all	34		
human pathogens meningitis	fish parasites	1		
human pathogens meningitis	human gut	3		
human pathogens meningitis	human associated	34		
human pathogens meningitis	mammal gut	3		
human pathogens meningitis	animal parasites or symbionts	26		
human pathogens meningitis	plant pathogen	2		
human pathogens meningitis	oil bioremediation	3		
human pathogens meningitis	aromatic hydrocarbon degradation	2		
human pathogens meningitis	aromatic compound degradation	3		
human pathogens meningitis	aliphatic non methane hydrocarbon degradation	0		
human pathogens meningitis	hydrocarbon degradation	2		
human pathogens meningitis	dark iron oxidation	0		
human pathogens meningitis	iron oxidation	0		
human pathogens meningitis	iron respiration	4		
human pathogens meningitis	nitrate respiration	13		
human pathogens meningitis	nitrate reduction	23		
human pathogens meningitis	nitrogen respiration	9		
human pathogens meningitis	fumarate respiration	5		
human pathogens meningitis	intracellular parasites	0		
human pathogens meningitis	chlorate reducers	0		
human pathogens meningitis	predatory or exoparasitic	0		
human pathogens meningitis	anoxygenic photoautotrophy H2 oxidizing	6		
human pathogens meningitis	anoxygenic photoautotrophy S oxidizing	6		
human pathogens meningitis	anoxygenic photoautotrophy Fe oxidizing	6		
human pathogens meningitis	anoxygenic photoautotrophy	6		
human pathogens meningitis	oxygenic photoautotrophy	34		
human pathogens meningitis	photoautotrophy	6		
human pathogens meningitis	aerobic anoxygenic phototrophy	6		
human pathogens meningitis	photoheterotrophy	6		
human pathogens meningitis	phototrophy	6		
human pathogens meningitis	plastic degradation	2		
human pathogens meningitis	ureolysis	21		
human pathogens meningitis	reductive acetogenesis	1		
human pathogens meningitis	acetate oxidation	2		
human pathogens meningitis	lactate oxidation	1		
human pathogens meningitis	chemoheterotrophy	27		
human pathogens meningitis	alginate degradation	1		
human pathogens meningitis	pectin degradation	0		
human pathogens meningitis	collagen degradation	2		
human pathogens meningitis	anaerobic chemoheterotrophy	7		
human pathogens meningitis	obligate anaerobes	26		
human pathogens meningitis	facultative anaerobes	16		
human pathogens meningitis	sulfur reduction	8		
human pathogens gastroenteritis	human pathogens diarrhea	6		
human pathogens gastroenteritis	human pathogens all	24		
human pathogens gastroenteritis	fish parasites	0		
human pathogens gastroenteritis	human gut	9		
human pathogens gastroenteritis	human associated	24		
human pathogens gastroenteritis	mammal gut	9		
human pathogens gastroenteritis	animal parasites or symbionts	20		
human pathogens gastroenteritis	plant pathogen	1		
human pathogens gastroenteritis	oil bioremediation	3		
human pathogens gastroenteritis	aromatic hydrocarbon degradation	0		
human pathogens gastroenteritis	aromatic compound degradation	0		
human pathogens gastroenteritis	aliphatic non methane hydrocarbon degradation	0		
human pathogens gastroenteritis	hydrocarbon degradation	0		
human pathogens gastroenteritis	dark iron oxidation	0		
human pathogens gastroenteritis	iron oxidation	0		
human pathogens gastroenteritis	iron respiration	0		
human pathogens gastroenteritis	nitrate respiration	6		
human pathogens gastroenteritis	nitrate reduction	21		
human pathogens gastroenteritis	nitrogen respiration	2		
human pathogens gastroenteritis	fumarate respiration	3		
human pathogens gastroenteritis	intracellular parasites	0		
human pathogens gastroenteritis	chlorate reducers	0		
human pathogens gastroenteritis	predatory or exoparasitic	0		
human pathogens gastroenteritis	anoxygenic photoautotrophy H2 oxidizing	10		
human pathogens gastroenteritis	anoxygenic photoautotrophy S oxidizing	10		
human pathogens gastroenteritis	anoxygenic photoautotrophy Fe oxidizing	10		
human pathogens gastroenteritis	anoxygenic photoautotrophy	10		
human pathogens gastroenteritis	oxygenic photoautotrophy	24		
human pathogens gastroenteritis	photoautotrophy	10		
human pathogens gastroenteritis	aerobic anoxygenic phototrophy	11		
human pathogens gastroenteritis	photoheterotrophy	10		
human pathogens gastroenteritis	phototrophy	9		
human pathogens gastroenteritis	plastic degradation	0		
human pathogens gastroenteritis	ureolysis	17		
human pathogens gastroenteritis	reductive acetogenesis	1		
human pathogens gastroenteritis	acetate oxidation	3		
human pathogens gastroenteritis	lactate oxidation	1		
human pathogens gastroenteritis	chemoheterotrophy	17		
human pathogens gastroenteritis	alginate degradation	0		
human pathogens gastroenteritis	pectin degradation	0		
human pathogens gastroenteritis	collagen degradation	2		
human pathogens gastroenteritis	anaerobic chemoheterotrophy	13		
human pathogens gastroenteritis	obligate anaerobes	21		
human pathogens gastroenteritis	facultative anaerobes	16		
human pathogens gastroenteritis	sulfur reduction	13		
human pathogens diarrhea	human pathogens all	23		
human pathogens diarrhea	fish parasites	0		
human pathogens diarrhea	human gut	6		
human pathogens diarrhea	human associated	23		
human pathogens diarrhea	mammal gut	9		
human pathogens diarrhea	animal parasites or symbionts	19		
human pathogens diarrhea	plant pathogen	0		
human pathogens diarrhea	oil bioremediation	2		
human pathogens diarrhea	aromatic hydrocarbon degradation	1		
human pathogens diarrhea	aromatic compound degradation	1		
human pathogens diarrhea	aliphatic non methane hydrocarbon degradation	0		
human pathogens diarrhea	hydrocarbon degradation	1		
human pathogens diarrhea	dark iron oxidation	0		
human pathogens diarrhea	iron oxidation	0		
human pathogens diarrhea	iron respiration	2		
human pathogens diarrhea	nitrate respiration	9		
human pathogens diarrhea	nitrate reduction	20		
human pathogens diarrhea	nitrogen respiration	6		
human pathogens diarrhea	fumarate respiration	4		
human pathogens diarrhea	intracellular parasites	0		
human pathogens diarrhea	chlorate reducers	0		
human pathogens diarrhea	predatory or exoparasitic	0		
human pathogens diarrhea	anoxygenic photoautotrophy H2 oxidizing	9		
human pathogens diarrhea	anoxygenic photoautotrophy S oxidizing	10		
human pathogens diarrhea	anoxygenic photoautotrophy Fe oxidizing	10		
human pathogens diarrhea	anoxygenic photoautotrophy	10		
human pathogens diarrhea	oxygenic photoautotrophy	23		
human pathogens diarrhea	photoautotrophy	10		
human pathogens diarrhea	aerobic anoxygenic phototrophy	10		
human pathogens diarrhea	photoheterotrophy	10		
human pathogens diarrhea	phototrophy	10		
human pathogens diarrhea	plastic degradation	1		
human pathogens diarrhea	ureolysis	14		
human pathogens diarrhea	reductive acetogenesis	0		
human pathogens diarrhea	acetate oxidation	2		
human pathogens diarrhea	lactate oxidation	0		
human pathogens diarrhea	chemoheterotrophy	18		
human pathogens diarrhea	alginate degradation	1		
human pathogens diarrhea	pectin degradation	1		
human pathogens diarrhea	collagen degradation	5		
human pathogens diarrhea	anaerobic chemoheterotrophy	12		
human pathogens diarrhea	obligate anaerobes	16		
human pathogens diarrhea	facultative anaerobes	14		
human pathogens diarrhea	sulfur reduction	5		
human pathogens all	fish parasites	2		
human pathogens all	human gut	49		
human pathogens all	human associated	411		
human pathogens all	mammal gut	59		
human pathogens all	animal parasites or symbionts	287		
human pathogens all	plant pathogen	23		
human pathogens all	oil bioremediation	28		
human pathogens all	aromatic hydrocarbon degradation	17		
human pathogens all	aromatic compound degradation	37		
human pathogens all	aliphatic non methane hydrocarbon degradation	14		
human pathogens all	hydrocarbon degradation	26		
human pathogens all	dark iron oxidation	0		
human pathogens all	iron oxidation	1		
human pathogens all	iron respiration	60		
human pathogens all	nitrate respiration	182		
human pathogens all	nitrate reduction	275		
human pathogens all	nitrogen respiration	84		
human pathogens all	fumarate respiration	68		
human pathogens all	intracellular parasites	52		
human pathogens all	chlorate reducers	9		
human pathogens all	predatory or exoparasitic	0		
human pathogens all	anoxygenic photoautotrophy H2 oxidizing	65		
human pathogens all	anoxygenic photoautotrophy S oxidizing	66		
human pathogens all	anoxygenic photoautotrophy Fe oxidizing	66		
human pathogens all	anoxygenic photoautotrophy	66		
human pathogens all	oxygenic photoautotrophy	446		
human pathogens all	photoautotrophy	66		
human pathogens all	aerobic anoxygenic phototrophy	75		
human pathogens all	photoheterotrophy	66		
human pathogens all	phototrophy	65		
human pathogens all	plastic degradation	27		
human pathogens all	ureolysis	256		
human pathogens all	reductive acetogenesis	4		
human pathogens all	acetate oxidation	24		
human pathogens all	lactate oxidation	23		
human pathogens all	chemoheterotrophy	400		
human pathogens all	alginate degradation	2		
human pathogens all	pectin degradation	4		
human pathogens all	collagen degradation	19		
human pathogens all	anaerobic chemoheterotrophy	176		
human pathogens all	obligate anaerobes	368		
human pathogens all	facultative anaerobes	204		
human pathogens all	sulfur reduction	92		
fish parasites	human gut	1		
fish parasites	human associated	2		
fish parasites	mammal gut	1		
fish parasites	animal parasites or symbionts	14		
fish parasites	plant pathogen	0		
fish parasites	oil bioremediation	0		
fish parasites	aromatic hydrocarbon degradation	1		
fish parasites	aromatic compound degradation	5		
fish parasites	aliphatic non methane hydrocarbon degradation	0		
fish parasites	hydrocarbon degradation	1		
fish parasites	dark iron oxidation	0		
fish parasites	iron oxidation	0		
fish parasites	iron respiration	9		
fish parasites	nitrate respiration	13		
fish parasites	nitrate reduction	16		
fish parasites	nitrogen respiration	11		
fish parasites	fumarate respiration	9		
fish parasites	intracellular parasites	1		
fish parasites	chlorate reducers	0		
fish parasites	predatory or exoparasitic	0		
fish parasites	anoxygenic photoautotrophy H2 oxidizing	4		
fish parasites	anoxygenic photoautotrophy S oxidizing	4		
fish parasites	anoxygenic photoautotrophy Fe oxidizing	4		
fish parasites	anoxygenic photoautotrophy	5		
fish parasites	oxygenic photoautotrophy	21		
fish parasites	photoautotrophy	5		
fish parasites	aerobic anoxygenic phototrophy	4		
fish parasites	photoheterotrophy	4		
fish parasites	phototrophy	4		
fish parasites	plastic degradation	1		
fish parasites	ureolysis	12		
fish parasites	reductive acetogenesis	0		
fish parasites	acetate oxidation	2		
fish parasites	lactate oxidation	3		
fish parasites	chemoheterotrophy	19		
fish parasites	alginate degradation	0		
fish parasites	pectin degradation	1		
fish parasites	collagen degradation	1		
fish parasites	anaerobic chemoheterotrophy	15		
fish parasites	obligate anaerobes	18		
fish parasites	facultative anaerobes	16		
fish parasites	sulfur reduction	10		
human gut	human associated	327		
human gut	mammal gut	327		
human gut	animal parasites or symbionts	327		
human gut	plant pathogen	4		
human gut	oil bioremediation	12		
human gut	aromatic hydrocarbon degradation	1		
human gut	aromatic compound degradation	7		
human gut	aliphatic non methane hydrocarbon degradation	4		
human gut	hydrocarbon degradation	4		
human gut	dark iron oxidation	10		
human gut	iron oxidation	10		
human gut	iron respiration	28		
human gut	nitrate respiration	136		
human gut	nitrate reduction	181		
human gut	nitrogen respiration	41		
human gut	fumarate respiration	35		
human gut	intracellular parasites	0		
human gut	chlorate reducers	0		
human gut	predatory or exoparasitic	0		
human gut	anoxygenic photoautotrophy H2 oxidizing	28		
human gut	anoxygenic photoautotrophy S oxidizing	29		
human gut	anoxygenic photoautotrophy Fe oxidizing	29		
human gut	anoxygenic photoautotrophy	30		
human gut	oxygenic photoautotrophy	327		
human gut	photoautotrophy	30		
human gut	aerobic anoxygenic phototrophy	153		
human gut	photoheterotrophy	29		
human gut	phototrophy	28		
human gut	plastic degradation	17		
human gut	ureolysis	154		
human gut	reductive acetogenesis	6		
human gut	acetate oxidation	31		
human gut	lactate oxidation	40		
human gut	chemoheterotrophy	273		
human gut	alginate degradation	14		
human gut	pectin degradation	11		
human gut	collagen degradation	18		
human gut	anaerobic chemoheterotrophy	184		
human gut	obligate anaerobes	251		
human gut	facultative anaerobes	226		
human gut	sulfur reduction	83		
human associated	mammal gut	342		
human associated	animal parasites or symbionts	624		
human associated	plant pathogen	27		
human associated	oil bioremediation	35		
human associated	aromatic hydrocarbon degradation	16		
human associated	aromatic compound degradation	63		
human associated	aliphatic non methane hydrocarbon degradation	26		
human associated	hydrocarbon degradation	41		
human associated	dark iron oxidation	15		
human associated	iron oxidation	17		
human associated	iron respiration	148		
human associated	nitrate respiration	529		
human associated	nitrate reduction	715		
human associated	nitrogen respiration	192		
human associated	fumarate respiration	189		
human associated	intracellular parasites	53		
human associated	chlorate reducers	8		
human associated	predatory or exoparasitic	1		
human associated	anoxygenic photoautotrophy H2 oxidizing	120		
human associated	anoxygenic photoautotrophy S oxidizing	120		
human associated	anoxygenic photoautotrophy Fe oxidizing	120		
human associated	anoxygenic photoautotrophy	123		
human associated	oxygenic photoautotrophy	1232		
human associated	photoautotrophy	121		
human associated	aerobic anoxygenic phototrophy	337		
human associated	photoheterotrophy	121		
human associated	phototrophy	117		
human associated	plastic degradation	48		
human associated	ureolysis	686		
human associated	reductive acetogenesis	16		
human associated	acetate oxidation	82		
human associated	lactate oxidation	104		
human associated	chemoheterotrophy	1078		
human associated	alginate degradation	14		
human associated	pectin degradation	18		
human associated	collagen degradation	37		
human associated	anaerobic chemoheterotrophy	577		
human associated	obligate anaerobes	1030		
human associated	facultative anaerobes	672		
human associated	sulfur reduction	222		
mammal gut	animal parasites or symbionts	504		
mammal gut	plant pathogen	4		
mammal gut	oil bioremediation	13		
mammal gut	aromatic hydrocarbon degradation	1		
mammal gut	aromatic compound degradation	15		
mammal gut	aliphatic non methane hydrocarbon degradation	6		
mammal gut	hydrocarbon degradation	6		
mammal gut	dark iron oxidation	11		
mammal gut	iron oxidation	11		
mammal gut	iron respiration	44		
mammal gut	nitrate respiration	209		
mammal gut	nitrate reduction	279		
mammal gut	nitrogen respiration	61		
mammal gut	fumarate respiration	58		
mammal gut	intracellular parasites	0		
mammal gut	chlorate reducers	1		
mammal gut	predatory or exoparasitic	0		
mammal gut	anoxygenic photoautotrophy H2 oxidizing	51		
mammal gut	anoxygenic photoautotrophy S oxidizing	52		
mammal gut	anoxygenic photoautotrophy Fe oxidizing	52		
mammal gut	anoxygenic photoautotrophy	53		
mammal gut	oxygenic photoautotrophy	503		
mammal gut	photoautotrophy	53		
mammal gut	aerobic anoxygenic phototrophy	231		
mammal gut	photoheterotrophy	52		
mammal gut	phototrophy	51		
mammal gut	plastic degradation	17		
mammal gut	ureolysis	247		
mammal gut	reductive acetogenesis	11		
mammal gut	acetate oxidation	43		
mammal gut	lactate oxidation	53		
mammal gut	chemoheterotrophy	406		
mammal gut	alginate degradation	16		
mammal gut	pectin degradation	22		
mammal gut	collagen degradation	18		
mammal gut	anaerobic chemoheterotrophy	257		
mammal gut	obligate anaerobes	396		
mammal gut	facultative anaerobes	332		
mammal gut	sulfur reduction	128		
animal parasites or symbionts	plant pathogen	15		
animal parasites or symbionts	oil bioremediation	28		
animal parasites or symbionts	aromatic hydrocarbon degradation	15		
animal parasites or symbionts	aromatic compound degradation	60		
animal parasites or symbionts	aliphatic non methane hydrocarbon degradation	13		
animal parasites or symbionts	hydrocarbon degradation	26		
animal parasites or symbionts	dark iron oxidation	12		
animal parasites or symbionts	iron oxidation	12		
animal parasites or symbionts	iron respiration	110		
animal parasites or symbionts	nitrate respiration	444		
animal parasites or symbionts	nitrate reduction	647		
animal parasites or symbionts	nitrogen respiration	159		
animal parasites or symbionts	fumarate respiration	164		
animal parasites or symbionts	intracellular parasites	60		
animal parasites or symbionts	chlorate reducers	4		
animal parasites or symbionts	predatory or exoparasitic	0		
animal parasites or symbionts	anoxygenic photoautotrophy H2 oxidizing	109		
animal parasites or symbionts	anoxygenic photoautotrophy S oxidizing	110		
animal parasites or symbionts	anoxygenic photoautotrophy Fe oxidizing	110		
animal parasites or symbionts	anoxygenic photoautotrophy	111		
animal parasites or symbionts	oxygenic photoautotrophy	1169		
animal parasites or symbionts	photoautotrophy	112		
animal parasites or symbionts	aerobic anoxygenic phototrophy	307		
animal parasites or symbionts	photoheterotrophy	109		
animal parasites or symbionts	phototrophy	109		
animal parasites or symbionts	plastic degradation	43		
animal parasites or symbionts	ureolysis	624		
